"nombre_actor";"apellidos_actor";"titulo_pelicula";"anio_pelicula";"es_protagonista"
"ADAM";"GRANT";"ANNIE IDENTITY";"2006";"0"
"ADAM";"GRANT";"BALLROOM MOCKINGBIRD";"2006";"0"
"ADAM";"GRANT";"DISCIPLE MOTHER";"2006";"0"
"ADAM";"GRANT";"FIREBALL PHILADELPHIA";"2006";"0"
"ADAM";"GRANT";"GLADIATOR WESTWARD";"2006";"0"
"ADAM";"GRANT";"GLORY TRACY";"2006";"0"
"ADAM";"GRANT";"GROUNDHOG UNCUT";"2006";"0"
"ADAM";"GRANT";"HAPPINESS UNITED";"2006";"0"
"ADAM";"GRANT";"IDOLS SNATCHERS";"2006";"0"
"ADAM";"GRANT";"LOSER HUSTLER";"2006";"0"
"ADAM";"GRANT";"MARS ROMAN";"2006";"0"
"ADAM";"GRANT";"MIDNIGHT WESTWARD";"2006";"0"
"ADAM";"GRANT";"OPERATION OPERATION";"2006";"0"
"ADAM";"GRANT";"SEABISCUIT PUNK";"2006";"0"
"ADAM";"GRANT";"SPLENDOR PATTON";"2006";"0"
"ADAM";"GRANT";"TADPOLE PARK";"2006";"0"
"ADAM";"GRANT";"TWISTED PIRATES";"2006";"0"
"ADAM";"GRANT";"WANDA CHAMBER";"2006";"0"
"ADAM";"HOPPER";"BLINDNESS GUN";"2006";"0"
"ADAM";"HOPPER";"BLOOD ARGONAUTS";"2006";"0"
"ADAM";"HOPPER";"CHAMBER ITALIAN";"2006";"0"
"ADAM";"HOPPER";"CLERKS ANGELS";"2006";"0"
"ADAM";"HOPPER";"CLUELESS BUCKET";"2006";"0"
"ADAM";"HOPPER";"FICTION CHRISTMAS";"2006";"0"
"ADAM";"HOPPER";"GABLES METROPOLIS";"2006";"0"
"ADAM";"HOPPER";"GREASE YOUTH";"2006";"0"
"ADAM";"HOPPER";"HEAVEN FREEDOM";"2006";"0"
"ADAM";"HOPPER";"LOVERBOY ATTACKS";"2006";"0"
"ADAM";"HOPPER";"MASKED BUBBLE";"2006";"0"
"ADAM";"HOPPER";"MOCKINGBIRD HOLLYWOOD";"2006";"0"
"ADAM";"HOPPER";"NOON PAPI";"2006";"0"
"ADAM";"HOPPER";"OPEN AFRICAN";"2006";"0"
"ADAM";"HOPPER";"PRINCESS GIANT";"2006";"0"
"ADAM";"HOPPER";"SADDLE ANTITRUST";"2006";"0"
"ADAM";"HOPPER";"SLEEPY JAPANESE";"2006";"0"
"ADAM";"HOPPER";"TORQUE BOUND";"2006";"0"
"ADAM";"HOPPER";"TOWERS HURRICANE";"2006";"0"
"ADAM";"HOPPER";"TRAIN BUNCH";"2006";"0"
"ADAM";"HOPPER";"VACATION BOONDOCK";"2006";"0"
"ADAM";"HOPPER";"WORDS HUNTER";"2006";"0"
"AL";"GARLAND";"BILL OTHERS";"2006";"0"
"AL";"GARLAND";"BREAKFAST GOLDFINGER";"2006";"0"
"AL";"GARLAND";"CHITTY LOCK";"2006";"0"
"AL";"GARLAND";"DALMATIONS SWEDEN";"2006";"0"
"AL";"GARLAND";"DRIFTER COMMANDMENTS";"2006";"0"
"AL";"GARLAND";"ENOUGH RAGING";"2006";"0"
"AL";"GARLAND";"GLASS DYING";"2006";"0"
"AL";"GARLAND";"GRAIL FRANKENSTEIN";"2006";"0"
"AL";"GARLAND";"HANDICAP BOONDOCK";"2006";"0"
"AL";"GARLAND";"HOLIDAY GAMES";"2006";"0"
"AL";"GARLAND";"HOUSE DYNAMITE";"2006";"0"
"AL";"GARLAND";"JACKET FRISCO";"2006";"0"
"AL";"GARLAND";"MUPPET MILE";"2006";"0"
"AL";"GARLAND";"OSCAR GOLD";"2006";"0"
"AL";"GARLAND";"PARK CITIZEN";"2006";"0"
"AL";"GARLAND";"POTTER CONNECTICUT";"2006";"0"
"AL";"GARLAND";"ROCK INSTINCT";"2006";"0"
"AL";"GARLAND";"SENSE GREEK";"2006";"0"
"AL";"GARLAND";"SILVERADO GOLDFINGER";"2006";"0"
"AL";"GARLAND";"SLEUTH ORIENT";"2006";"0"
"AL";"GARLAND";"SLIPPER FIDELITY";"2006";"0"
"AL";"GARLAND";"SPLASH GUMP";"2006";"0"
"AL";"GARLAND";"SPLENDOR PATTON";"2006";"0"
"AL";"GARLAND";"VISION TORQUE";"2006";"0"
"AL";"GARLAND";"VOICE PEACH";"2006";"0"
"AL";"GARLAND";"WASTELAND DIVINE";"2006";"0"
"ALAN";"DREYFUSS";"BADMAN DAWN";"2006";"0"
"ALAN";"DREYFUSS";"BARBARELLA STREETCAR";"2006";"0"
"ALAN";"DREYFUSS";"BIRCH ANTITRUST";"2006";"0"
"ALAN";"DREYFUSS";"BLANKET BEVERLY";"2006";"0"
"ALAN";"DREYFUSS";"BULWORTH COMMANDMENTS";"2006";"0"
"ALAN";"DREYFUSS";"CLASH FREDDY";"2006";"0"
"ALAN";"DREYFUSS";"CLUELESS BUCKET";"2006";"0"
"ALAN";"DREYFUSS";"CRAZY HOME";"2006";"0"
"ALAN";"DREYFUSS";"DIVIDE MONSTER";"2006";"0"
"ALAN";"DREYFUSS";"FIDELITY DEVIL";"2006";"0"
"ALAN";"DREYFUSS";"GREEDY ROOTS";"2006";"0"
"ALAN";"DREYFUSS";"HAUNTED ANTITRUST";"2006";"0"
"ALAN";"DREYFUSS";"JUMPING WRATH";"2006";"0"
"ALAN";"DREYFUSS";"KICK SAVANNAH";"2006";"0"
"ALAN";"DREYFUSS";"LONELY ELEPHANT";"2006";"0"
"ALAN";"DREYFUSS";"MAGUIRE APACHE";"2006";"0"
"ALAN";"DREYFUSS";"MASSAGE IMAGE";"2006";"0"
"ALAN";"DREYFUSS";"METAL ARMAGEDDON";"2006";"0"
"ALAN";"DREYFUSS";"MONSTER SPARTACUS";"2006";"0"
"ALAN";"DREYFUSS";"POLISH BROOKLYN";"2006";"0"
"ALAN";"DREYFUSS";"RUSH GOODFELLAS";"2006";"0"
"ALAN";"DREYFUSS";"SAGEBRUSH CLUELESS";"2006";"0"
"ALAN";"DREYFUSS";"STRANGELOVE DESIRE";"2006";"0"
"ALAN";"DREYFUSS";"STRICTLY SCARFACE";"2006";"0"
"ALAN";"DREYFUSS";"UNCUT SUICIDES";"2006";"0"
"ALAN";"DREYFUSS";"UPTOWN YOUNG";"2006";"0"
"ALAN";"DREYFUSS";"VAMPIRE WHALE";"2006";"0"
"ALBERT";"JOHANSSON";"ALASKA PHANTOM";"2006";"0"
"ALBERT";"JOHANSSON";"ALLEY EVOLUTION";"2006";"0"
"ALBERT";"JOHANSSON";"APOLLO TEEN";"2006";"0"
"ALBERT";"JOHANSSON";"CANDLES GRAPES";"2006";"0"
"ALBERT";"JOHANSSON";"CONNECTICUT TRAMP";"2006";"0"
"ALBERT";"JOHANSSON";"CROOKED FROGMEN";"2006";"0"
"ALBERT";"JOHANSSON";"CRUSADE HONEY";"2006";"0"
"ALBERT";"JOHANSSON";"DANGEROUS UPTOWN";"2006";"0"
"ALBERT";"JOHANSSON";"DECEIVER BETRAYED";"2006";"0"
"ALBERT";"JOHANSSON";"ELF MURDER";"2006";"0"
"ALBERT";"JOHANSSON";"EXPRESS LONELY";"2006";"0"
"ALBERT";"JOHANSSON";"FIGHT JAWBREAKER";"2006";"0"
"ALBERT";"JOHANSSON";"FLAMINGOS CONNECTICUT";"2006";"0"
"ALBERT";"JOHANSSON";"GRACELAND DYNAMITE";"2006";"0"
"ALBERT";"JOHANSSON";"GROSSE WONDERFUL";"2006";"0"
"ALBERT";"JOHANSSON";"HARPER DYING";"2006";"0"
"ALBERT";"JOHANSSON";"HEAVEN FREEDOM";"2006";"0"
"ALBERT";"JOHANSSON";"HOMEWARD CIDER";"2006";"0"
"ALBERT";"JOHANSSON";"HONEY TIES";"2006";"0"
"ALBERT";"JOHANSSON";"LEAGUE HELLFIGHTERS";"2006";"0"
"ALBERT";"JOHANSSON";"LEBOWSKI SOLDIERS";"2006";"0"
"ALBERT";"JOHANSSON";"METAL ARMAGEDDON";"2006";"0"
"ALBERT";"JOHANSSON";"MONSOON CAUSE";"2006";"0"
"ALBERT";"JOHANSSON";"REDEMPTION COMFORTS";"2006";"0"
"ALBERT";"JOHANSSON";"RIGHT CRANES";"2006";"0"
"ALBERT";"JOHANSSON";"ROAD ROXANNE";"2006";"0"
"ALBERT";"JOHANSSON";"SWEDEN SHINING";"2006";"0"
"ALBERT";"JOHANSSON";"TREASURE COMMAND";"2006";"0"
"ALBERT";"JOHANSSON";"UNDEFEATED DALMATIONS";"2006";"0"
"ALBERT";"JOHANSSON";"VIRGINIAN PLUTO";"2006";"0"
"ALBERT";"JOHANSSON";"WALLS ARTIST";"2006";"0"
"ALBERT";"JOHANSSON";"WEDDING APOLLO";"2006";"0"
"ALBERT";"JOHANSSON";"WEST LION";"2006";"0"
"ALBERT";"NOLTE";"BED HIGHBALL";"2006";"0"
"ALBERT";"NOLTE";"BRIGHT ENCOUNTERS";"2006";"0"
"ALBERT";"NOLTE";"BROOKLYN DESERT";"2006";"0"
"ALBERT";"NOLTE";"CAMELOT VACATION";"2006";"0"
"ALBERT";"NOLTE";"CONFUSED CANDLES";"2006";"0"
"ALBERT";"NOLTE";"CRAZY HOME";"2006";"0"
"ALBERT";"NOLTE";"DALMATIONS SWEDEN";"2006";"0"
"ALBERT";"NOLTE";"DOCTOR GRAIL";"2006";"0"
"ALBERT";"NOLTE";"DRAGON SQUAD";"2006";"0"
"ALBERT";"NOLTE";"FLINTSTONES HAPPINESS";"2006";"0"
"ALBERT";"NOLTE";"FRISCO FORREST";"2006";"0"
"ALBERT";"NOLTE";"GLEAMING JAWBREAKER";"2006";"0"
"ALBERT";"NOLTE";"GOLDMINE TYCOON";"2006";"0"
"ALBERT";"NOLTE";"HANDICAP BOONDOCK";"2006";"0"
"ALBERT";"NOLTE";"HELLFIGHTERS SIERRA";"2006";"0"
"ALBERT";"NOLTE";"HOMICIDE PEACH";"2006";"0"
"ALBERT";"NOLTE";"HONEY TIES";"2006";"0"
"ALBERT";"NOLTE";"IDOLS SNATCHERS";"2006";"0"
"ALBERT";"NOLTE";"KILL BROTHERHOOD";"2006";"0"
"ALBERT";"NOLTE";"MANCHURIAN CURTAIN";"2006";"0"
"ALBERT";"NOLTE";"MEMENTO ZOOLANDER";"2006";"0"
"ALBERT";"NOLTE";"MIXED DOORS";"2006";"0"
"ALBERT";"NOLTE";"MOURNING PURPLE";"2006";"0"
"ALBERT";"NOLTE";"NEWTON LABYRINTH";"2006";"0"
