"nombre";"apellidos";"nacionalidad"
"ADAM";"AKROYD";"EEUU"
"ADAM";"ALLEN";"EEUU"
"ADAM";"BACALL";"EEUU"
"ADAM";"BAILEY";"EEUU"
"ADAM";"BALE";"EEUU"
"ADAM";"BALL";"EEUU"
"ADAM";"BARRYMORE";"EEUU"
"ADAM";"BASINGER";"EEUU"
"ADAM";"BENING";"EEUU"
"ADAM";"BERRY";"EEUU"
"ADAM";"BIRCH";"EEUU"
"ADAM";"BOLGER";"EEUU"
"ADAM";"BRIDGES";"EEUU"
"ADAM";"CHASE";"EEUU"
"ADAM";"COSTNER";"EEUU"
"ADAM";"CRAWFORD";"EEUU"
"ADAM";"CRONYN";"EEUU"
"ADAM";"CROWE";"EEUU"
"ADAM";"CRUISE";"EEUU"
"ADAM";"DEGENERES";"EEUU"
"ADAM";"DENCH";"EEUU"
"ADAM";"DUKAKIS";"EEUU"
"ADAM";"FAWCETT";"EEUU"
"ADAM";"GABLE";"EEUU"
"ADAM";"GRANT";"EEUU"
"ADAM";"GUINESS";"EEUU"
"ADAM";"HOFFMAN";"EEUU"
"AL";"AKROYD";"EEUU"
"AL";"ASTAIRE";"EEUU"
"AL";"BAILEY";"EEUU"
"AL";"BALE";"EEUU"
"AL";"BALL";"EEUU"
"AL";"BARRYMORE";"EEUU"
"AL";"BASINGER";"EEUU"
"AL";"BENING";"EEUU"
"AL";"BERGEN";"EEUU"
"AL";"BERRY";"EEUU"
"AL";"BLOOM";"EEUU"
"AL";"BOLGER";"EEUU"
"AL";"BRIDGES";"EEUU"
"AL";"CAGE";"EEUU"
"AL";"CRAWFORD";"EEUU"
"AL";"DAVIS";"EEUU"
"AL";"GARLAND";"EEUU"
"ALAN";"AKROYD";"EEUU"
"ALAN";"ALLEN";"EEUU"
"ALAN";"BACALL";"EEUU"
"ALAN";"BAILEY";"EEUU"
"ALAN";"BALE";"EEUU"
"ALAN";"BENING";"EEUU"
"ALAN";"BERGEN";"EEUU"
"ALAN";"BERRY";"EEUU"
"ALAN";"BOLGER";"EEUU"
"ALAN";"CAGE";"EEUU"
"ALAN";"CARREY";"EEUU"
"ALAN";"CHAPLIN";"EEUU"
"ALAN";"CLOSE";"EEUU"
"ALAN";"COSTNER";"EEUU"
"ALAN";"DAVIS";"EEUU"
"ALAN";"DAY-LEWIS";"EEUU"
"ALAN";"DERN";"EEUU"
"ALAN";"DREYFUSS";"EEUU"
"ALBERT";"AKROYD";"EEUU"
"ALBERT";"ALLEN";"EEUU"
"ALBERT";"BAILEY";"EEUU"
"ALBERT";"BALE";"EEUU"
"ALBERT";"BARRYMORE";"EEUU"
"ALBERT";"BASINGER";"EEUU"
"ALBERT";"BERGEN";"EEUU"
"ALBERT";"BERRY";"EEUU"
"ALBERT";"BOLGER";"EEUU"
"ALBERT";"BRIDGES";"EEUU"
"ALBERT";"BRODY";"EEUU"
"ALBERT";"BULLOCK";"EEUU"
"ALBERT";"CAGE";"EEUU"
"ALBERT";"CHASE";"EEUU"
"ALBERT";"CLOSE";"EEUU"
"ALBERT";"COSTNER";"EEUU"
"ALBERT";"CRAWFORD";"EEUU"
"ALBERT";"CRONYN";"EEUU"
"ALBERT";"CROWE";"EEUU"
"ALBERT";"CRUISE";"EEUU"
"ALBERT";"DAVIS";"EEUU"
"ALBERT";"DAY-LEWIS";"EEUU"
"ALBERT";"DEAN";"EEUU"
"ALBERT";"DEGENERES";"EEUU"
"ALBERT";"DENCH";"EEUU"
"ALBERT";"DEPP";"EEUU"
"ALBERT";"GIBSON";"EEUU"
"ALBERT";"GOLDBERG";"EEUU"
"ALBERT";"GUINESS";"EEUU"
"ALBERT";"HACKMAN";"EEUU"
"ALBERT";"JOHANSSON";"EEUU"
"ALEC";"AKROYD";"EEUU"
"ALEC";"ASTAIRE";"EEUU"
"ALEC";"BALL";"EEUU"
"ALEC";"BARRYMORE";"EEUU"
"ALEC";"BASINGER";"EEUU"
"ALEC";"BENING";"EEUU"
"ALEC";"BERRY";"EEUU"
"ALEC";"BIRCH";"EEUU"
"ALEC";"BLOOM";"EEUU"
"ALEC";"BOLGER";"EEUU"
"ALEC";"BRODY";"EEUU"
"ALEC";"CAGE";"EEUU"
"ALEC";"CHAPLIN";"EEUU"
"ALEC";"CRONYN";"EEUU"
"ALEC";"DAVIS";"EEUU"
"ALEC";"DENCH";"EEUU"
"ALEC";"GUINESS";"EEUU"
"ALEC";"HARRIS";"EEUU"
"ALEC";"HOFFMAN";"EEUU"
"ANGELA";"AKROYD";"EEUU"
"ANGELA";"ALLEN";"EEUU"
"ANGELA";"BACALL";"EEUU"
"ANGELA";"BALE";"EEUU"
"ANGELA";"BALL";"EEUU"
"ANGELA";"BASINGER";"EEUU"
"ANGELA";"BENING";"EEUU"
"ANGELA";"BERGMAN";"EEUU"
"ANGELA";"BERRY";"EEUU"
"ANGELA";"BIRCH";"EEUU"
"ANGELA";"BOLGER";"EEUU"
"ANGELA";"BRODY";"EEUU"
"ANGELA";"CAGE";"EEUU"
"ANGELA";"CHASE";"EEUU"
"ANGELA";"CRAWFORD";"EEUU"
"ANGELA";"CRONYN";"EEUU"
"ANGELA";"CROWE";"EEUU"
"ANGELA";"DAMON";"EEUU"
"ANGELA";"DAVIS";"EEUU"
"ANGELA";"DAY-LEWIS";"EEUU"
"ANGELA";"DEE";"EEUU"
"ANGELA";"DEGENERES";"EEUU"
"ANGELA";"DENCH";"EEUU"
"ANGELA";"GARLAND";"EEUU"
"ANGELA";"GIBSON";"EEUU"
"ANGELA";"GUINESS";"EEUU"
"ANGELA";"HAWKE";"EEUU"
"ANGELA";"HOFFMAN";"EEUU"
"ANGELA";"HOPKINS";"EEUU"
"ANGELA";"HUDSON";"EEUU"
"ANGELA";"KILMER";"EEUU"
"ANGELA";"LEIGH";"EEUU"
"ANGELA";"MONROE";"EEUU"
"ANGELA";"TORN";"EEUU"
"ANGELINA";"AKROYD";"EEUU"
"ANGELINA";"ALLEN";"EEUU"
"ANGELINA";"ASTAIRE";"EEUU"
"ANNE";"AKROYD";"EEUU"
"ANNE";"ALLEN";"EEUU"
"ANNE";"BAILEY";"EEUU"
"ANNE";"BALE";"EEUU"
"ANNE";"BERRY";"EEUU"
"ANNE";"CAGE";"EEUU"
"ANNE";"CARREY";"EEUU"
"ANNE";"CRONYN";"EEUU"
"AUDREY";"AKROYD";"EEUU"
"AUDREY";"ALLEN";"EEUU"
"AUDREY";"BACALL";"EEUU"
"AUDREY";"BAILEY";"EEUU"
"AUDREY";"BALE";"EEUU"
"AUDREY";"BENING";"EEUU"
"AUDREY";"BERRY";"EEUU"
"AUDREY";"BIRCH";"EEUU"
"AUDREY";"BULLOCK";"EEUU"
"AUDREY";"CARREY";"EEUU"
"AUDREY";"CHASE";"EEUU"
"AUDREY";"CLOSE";"EEUU"
"AUDREY";"COSTNER";"EEUU"
"AUDREY";"CRUISE";"EEUU"
"AUDREY";"DAVIS";"EEUU"
"AUDREY";"DENCH";"EEUU"
"AUDREY";"DEPP";"EEUU"
"BELA";"AKROYD";"EEUU"
"BELA";"BAILEY";"EEUU"
"BELA";"BALL";"EEUU"
"BELA";"BARRYMORE";"EEUU"
"BELA";"BASINGER";"EEUU"
"BELA";"BERGEN";"EEUU"
"BELA";"BRODY";"EEUU"
"BELA";"CHAPLIN";"EEUU"
"BELA";"CRAWFORD";"EEUU"
"BELA";"GARLAND";"EEUU"
"BELA";"GUINESS";"EEUU"
"BELA";"HUNT";"EEUU"
"BELA";"PINKETT";"EEUU"
"BELA";"RYDER";"EEUU"
"BELA";"TORN";"EEUU"
"BEN";"AKROYD";"EEUU"
"BEN";"ALLEN";"EEUU"
"BEN";"BALL";"EEUU"
"BEN";"BARRYMORE";"EEUU"
"BEN";"BASINGER";"EEUU"
"BEN";"BENING";"EEUU"
"BEN";"BERGEN";"EEUU"
"BEN";"BERRY";"EEUU"
"BEN";"BLOOM";"EEUU"
"BEN";"BRODY";"EEUU"
"BEN";"BULLOCK";"EEUU"
"BEN";"CAGE";"EEUU"
"BEN";"CHAPLIN";"EEUU"
"BEN";"CRAWFORD";"EEUU"
"BEN";"CRONYN";"EEUU"
"BEN";"CRUISE";"EEUU"
"BEN";"DAMON";"EEUU"
"BEN";"DAVIS";"EEUU"
"BEN";"DEGENERES";"EEUU"
"BEN";"DUKAKIS";"EEUU"
"BEN";"FAWCETT";"EEUU"
"BEN";"GABLE";"EEUU"
"BEN";"HARRIS";"EEUU"
"BEN";"HOFFMAN";"EEUU"
"BEN";"KILMER";"EEUU"
"BEN";"MCQUEEN";"EEUU"
"BETTE";"ALLEN";"EEUU"
"BETTE";"BAILEY";"EEUU"
"BETTE";"BALE";"EEUU"
"BETTE";"BALL";"EEUU"
"BETTE";"BARRYMORE";"EEUU"
"BETTE";"BENING";"EEUU"
"BETTE";"BERRY";"EEUU"
"BETTE";"CARREY";"EEUU"
"BETTE";"COSTNER";"EEUU"
"BETTE";"CRAWFORD";"EEUU"
