"matricula";"ano_matriculacion";"color";"num_plazas";"km";"marca";"modelo";"categoria";"tipo_combustible"
"LQY9436";"2019";"BLANCO";"5";"21366.00000";"Abarth";"500";"MEDIANA";"GLP"
"XOA5435";"2010";"BLANCO";"5";"61106.00000";"Abarth";"500";"ECONÓMICA";"GLP"
"LWA5434";"2005";"BLANCO";"5";"42820.00000";"Abarth";"Grande Punto";"DESCAPOTABLES";"HIDRÓGENO"
"LFS9381";"2012";"BLANCO";"5";"65765.00000";"Abarth";"Grande Punto";"MINI";"GASOLINA"
"YEB7408";"2018";"BLANCO";"7";"63504.00000";"Abarth";"Punto Evo";"MONOVOLÚMENES";"GASOLINA"
"LFT1129";"2019";"BLANCO";"5";"21454.00000";"Abarth";"Punto Evo";"MEDIANA";"GLP"
"USE8486";"2016";"BLANCO";"5";"5428.00000";"Abarth";"Punto Evo";"SUV";"ELÉCTRICO"
"YOY1987";"2016";"BLANCO";"7";"83373.00000";"Abarth";"Punto Evo";"MONOVOLÚMENES";"HÍBRIDO"
"GZE9101";"2000";"BLANCO";"5";"46459.00000";"Abarth";"Punto Evo";"LUJO";"DIESEL"
"RNP4474";"2012";"BLANCO";"5";"20568.00000";"Abarth";"500c";"MEDIANA";"GN"
"NPL4732";"2007";"BLANCO";"5";"23396.00000";"Abarth";"500c";"COMPACTA";"HÍBRIDO"
"HBJ8714";"2013";"BLANCO";"5";"21169.00000";"Abarth";"500c";"MEDIANA";"GLP"
"SHK1474";"2012";"BLANCO";"5";"20760.00000";"Abarth";"500c";"MEDIANA";"GN"
"QTU8460";"2004";"BLANCO";"5";"40651.00000";"Abarth";"500c";"DESCAPOTABLES";"GN"
"MRZ9466";"2003";"BLANCO";"5";"83956.00000";"Abarth";"500c";"FAMILIAR";"HÍBRIDO"
"SQB3546";"2020";"BLANCO";"5";"22761.00000";"Abarth";"695";"MEDIANA";"HIDRÓGENO"
"SZS7184";"2013";"BLANCO";"5";"44882.00000";"Abarth";"695";"LUJO";"ELÉCTRICO"
"AHK0126";"2012";"BLANCO";"7";"64856.00000";"Abarth";"Punto";"MONOVOLÚMENES";"DIESEL"
"OEH1097";"2018";"BLANCO";"5";"64243.00000";"Alfa Romeo";"155";"ECONÓMICA";"HÍBRIDO"
"GZD7109";"2012";"BLANCO";"5";"43754.00000";"Alfa Romeo";"155";"DESCAPOTABLES";"HÍBRIDO"
"COP2448";"2018";"BLANCO";"5";"41830.00000";"Alfa Romeo";"155";"DESCAPOTABLES";"GLP"
"RFC7407";"2008";"BLANCO";"5";"80663.00000";"Alfa Romeo";"155";"LUJO";"DIESEL"
"NWV5072";"2003";"BLANCO";"5";"6805.00000";"Alfa Romeo";"155";"SUV";"GASOLINA"
"OVL8676";"2020";"BLANCO";"5";"44894.00000";"Alfa Romeo";"156";"DESCAPOTABLES";"HÍBRIDO"
"XGM7284";"2013";"BLANCO";"5";"45731.00000";"Alfa Romeo";"156";"LUJO";"ELÉCTRICO"
"AFA4095";"2014";"BLANCO";"5";"1491.00000";"Alfa Romeo";"156";"MONOVOLÚMENES";"GN"
"ARI6168";"2006";"BLANCO";"7";"21793.00000";"Alfa Romeo";"156";"MONOVOLÚMENES";"ELÉCTRICO"
"DGX8252";"2007";"BLANCO";"5";"45666.00000";"Alfa Romeo";"156";"LUJO";"ELÉCTRICO"
"JBD5181";"2008";"BLANCO";"5";"2717.00000";"Alfa Romeo";"159";"MONOVOLÚMENES";"GLP"
"ZRI6210";"2012";"BLANCO";"5";"42211.00000";"Alfa Romeo";"159";"DESCAPOTABLES";"GLP"
"IOT1474";"2012";"BLANCO";"5";"21002.00000";"Alfa Romeo";"159";"MEDIANA";"DIESEL"
"IXQ4159";"2003";"BLANCO";"5";"83944.00000";"Alfa Romeo";"159";"FAMILIAR";"HÍBRIDO"
"SDP6356";"2007";"BLANCO";"5";"46393.00000";"Alfa Romeo";"159";"LUJO";"GASOLINA"
"EVQ6381";"2017";"BLANCO";"5";"61992.00000";"Alfa Romeo";"164";"COMPACTA";"GN"
"SJP9826";"2012";"BLANCO";"7";"65809.00000";"Alfa Romeo";"164";"MONOVOLÚMENES";"DIESEL"
